Date,Temperature Max,Temperature Avg,Temperature Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total Precipitation Inches
3/18/1985,58,45.5,0,46,35.6,0,80,56.2,0,33,10.4,0,30,29.9,29.9,0
11/11/1985,60,38.3,0,54,32.3,0,93,51.9,0,29,15.8,7,29.7,29.6,29.6,0
11/29/1985,61,32.6,0,59,30.9,0,100,53,0,46,17.3,3,29.7,29.6,29.5,0
2/3/1986,61,48.5,0,54,43.4,0,100,69.8,0,30,9.5,0,30.1,29.9,29.8,0
3/10/1986,59,36.8,0,56,34.7,0,96,61.1,0,29,16.1,6,29.9,29.7,29.6,0
4/16/1986,63,57.6,51,50,47.8,45,86,70.4,54,28,12,0,29.9,29.9,29.9,0
5/6/1986,62,53.9,0,52,44.9,0,86,65.7,0,30,14.5,0,29.8,29.7,29.7,0
2/18/1987,69,60.2,48,36,21.3,0,61,35.7,24,28,11.1,0,29.9,29.8,29.7,0
2/23/1987,57,50.6,44,48,40,36,86,67.8,49,35,17.3,3,29.7,29.5,29.4,0
3/15/1987,60,54.7,49,48,41.6,37,83,61.7,53,35,18.7,9,29.7,29.6,29.6,0
3/19/1987,61,55.7,50,48,39.3,0,89,59.3,37,32,15.6,0,29.8,29.7,29.6,0
4/3/1987,63,45.9,0,57,41,0,100,64.6,0,28,17.5,5,29.8,29.7,29.7,0
5/25/1987,65,60.2,56,53,51,48,87,72.7,54,28,14.8,3,29.8,29.7,29.7,0
12/4/1987,63,40,0,58,37.8,0,100,61.5,0,28,12.3,3,29.9,29.9,29.7,0
12/16/1987,52,32.4,0,41,15.5,0,74,32.7,0,32,21.1,12,29.8,29.6,29.5,0
12/24/1987,53,47,43,22,14,8,42,27.5,18,30,13.6,7,29.9,29.9,29.8,0
12/29/1987,54,40.6,0,48,34.2,0,93,61.8,0,32,12.6,0,30.1,30,29.9,0
1/17/1988,58,33.3,0,53,30.5,0,100,54,0,30,17.2,7,29.8,29.4,29.1,0
2/22/1988,63,29.6,0,53,27.3,0,100,46,0,31,7,0,29.9,29.8,29.8,0
4/30/1988,68,61.8,56,54,46.4,24,90,60.6,25,38,16,5,29.9,29.9,29.8,0
5/1/1988,67,60.8,54,49,32.3,23,67,35.7,21,29,20.2,9,30,30,29.9,0
5/5/1988,61,52.2,0,49,40.9,0,83,59.5,0,30,17.3,5,30,29.9,29.8,0
5/29/1988,65,53.9,0,54,41.2,0,89,54,0,36,22.2,9,29.7,29.6,29.6,0
11/14/1988,62,47.4,0,58,35.1,0,96,52,0,30,19.7,7,30,29.8,29.8,0
2/4/1989,55,34.6,0,54,31.4,0,100,56.8,0,28,17.8,8,30,29.9,29.8,0
3/3/1989,61,47.8,0,48,29.9,0,83,46.1,0,28,15.7,5,29.8,29.7,29.6,0
10/25/1989,67,58.8,0,60,47,0,93,60.1,0,31,17.7,9,29.9,29.9,29.8,0
1/2/1990,61,51.6,0,50,37.2,0,96,61.5,0,32,10.9,5,29.9,29.8,29.8,0
3/5/1990,59,50.3,0,52,39.4,0,96,60.9,0,28,16.9,6,30,29.9,29.8,0
3/11/1990,57,50.9,0,49,40.1,0,86,63.6,0,32,21.8,7,29.9,29.8,29.8,0
3/12/1990,56,44.9,0,43,30,0,77,52.7,0,28,10.6,0,30,29.9,29.9,0
6/27/1990,89,76.9,65,56,50.6,39,68,42.6,17,30,15.2,7,29.7,29.6,29.6,0
