"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-19","1:53 AM","50","46","86","ESE","3","0","30.11","Fair","0.0"
"2025-01-19","2:53 AM","49","46","90","ENE","6","0","30.11","Fair","0.0"
"2025-01-19","3:53 AM","49","45","86","CALM","0","0","30.11","Fair","0.0"
"2025-01-19","4:53 AM","48","44","86","ENE","3","0","30.09","Fair","0.0"
"2025-01-19","5:53 AM","47","43","86","CALM","0","0","30.08","Fair","0.0"
"2025-01-19","6:53 AM","47","42","83","NE","5","0","30.09","Fair","0.0"
"2025-01-19","7:53 AM","46","42","86","NE","3","0","30.10","Partly Cloudy","0.0"
"2025-01-19","8:31 AM","48","43","83","VAR","3","0","30.10","Haze","0.0"
"2025-01-19","8:53 AM","47","42","83","CALM","0","0","30.10","Mostly Cloudy","0.0"
"2025-01-19","9:53 AM","50","43","77","E","3","0","30.11","Cloudy","0.0"
"2025-01-19","10:53 AM","54","45","72","CALM","0","0","30.11","Cloudy","0.0"
"2025-01-19","11:53 AM","56","46","69","CALM","0","0","30.08","Haze","0.0"
"2025-01-19","12:53 PM","57","45","64","WSW","8","0","30.05","Mostly Cloudy","0.0"
"2025-01-19","1:38 PM","56","45","67","W","8","0","30.03","Partly Cloudy","0.0"
"2025-01-19","1:53 PM","58","45","62","W","10","0","30.02","Partly Cloudy","0.0"
"2025-01-19","2:53 PM","58","45","62","W","10","0","29.99","Partly Cloudy","0.0"
"2025-01-19","3:53 PM","57","46","67","WSW","12","0","29.98","Fair","0.0"
"2025-01-19","4:19 PM","56","46","69","W","14","0","29.98","Mostly Cloudy","0.0"
"2025-01-19","4:53 PM","56","46","69","W","14","0","29.97","Partly Cloudy","0.0"
"2025-01-19","5:42 PM","55","46","72","W","14","0","29.96","Cloudy","0.0"
"2025-01-19","5:53 PM","55","46","72","W","13","0","29.96","Cloudy","0.0"
"2025-01-19","6:53 PM","54","46","75","WSW","10","0","29.96","Cloudy","0.0"
"2025-01-19","7:53 PM","54","47","77","WSW","8","0","29.94","Cloudy","0.0"
"2025-01-19","8:53 PM","54","47","77","CALM","0","0","29.95","Cloudy","0.0"
"2025-01-19","9:53 PM","54","47","77","WSW","6","0","29.96","Cloudy","0.0"
"2025-01-19","10:53 PM","54","47","77","SSW","5","0","29.97","Cloudy","0.0"
"2025-01-19","11:53 PM","54","46","75","SSW","5","0","29.99","Cloudy","0.0"
"2025-01-20","12:53 AM","54","46","75","SE","5","0","30.00","Cloudy","0.0"
"2025-01-18","1:23 AM","52","46","80","CALM","0","0","30.08","Partly Cloudy","0.0"
"2025-01-18","1:51 AM","50","45","82","NE","3","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","1:53 AM","50","45","83","NE","3","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","2:53 AM","51","46","83","ENE","3","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","3:53 AM","51","46","83","E","3","0","30.07","Mostly Cloudy","0.0"
"2025-01-18","4:53 AM","51","46","83","ENE","6","0","30.07","Mostly Cloudy","0.0"
"2025-01-18","5:53 AM","48","44","86","CALM","0","0","30.07","Mostly Cloudy","0.0"
"2025-01-18","6:53 AM","49","45","86","NE","5","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","7:39 AM","51","45","80","ENE","5","0","30.09","Partly Cloudy","0.0"
"2025-01-18","7:53 AM","48","44","86","CALM","0","0","30.09","Partly Cloudy","0.0"
"2025-01-18","8:53 AM","50","45","83","ENE","5","0","30.11","Partly Cloudy","0.0"
"2025-01-18","9:53 AM","55","46","72","ENE","6","0","30.11","Partly Cloudy","0.0"
"2025-01-18","10:53 AM","58","46","65","NE","5","0","30.13","Partly Cloudy","0.0"
"2025-01-18","11:53 AM","58","42","56","SE","7","0","30.12","Partly Cloudy","0.0"
"2025-01-18","12:53 PM","59","43","55","CALM","0","0","30.09","Fair","0.0"
"2025-01-18","1:53 PM","61","43","52","W","9","17","30.07","Fair","0.0"
"2025-01-18","2:53 PM","60","44","55","WSW","12","0","30.05","Fair","0.0"
"2025-01-18","3:53 PM","59","45","60","WSW","12","0","30.05","Fair","0.0"
"2025-01-18","4:53 PM","58","46","65","W","12","0","30.06","Fair","0.0"
"2025-01-18","5:53 PM","56","47","72","W","12","0","30.07","Fair","0.0"
"2025-01-18","6:53 PM","55","47","74","W","12","0","30.08","Fair","0.0"
"2025-01-18","7:53 PM","55","47","74","W","9","0","30.08","Fair","0.0"
"2025-01-18","8:53 PM","53","47","80","WSW","5","0","30.08","Fair","0.0"
"2025-01-18","9:53 PM","53","48","83","WSW","6","0","30.08","Fair","0.0"
"2025-01-18","10:53 PM","53","48","83","W","6","0","30.09","Fair","0.0"
"2025-01-18","11:53 PM","53","47","80","CALM","0","0","30.11","Fair","0.0"
"2025-01-19","12:53 AM","52","43","71","CALM","0","0","30.11","Fair","0.0"
"2025-01-20","1:53 AM","54","45","72","E","6","0","29.99","Cloudy","0.0"
"2025-01-20","2:53 AM","54","45","72","E","6","0","29.98","Cloudy","0.0"
"2025-01-20","3:53 AM","54","44","69","E","3","0","29.98","Cloudy","0.0"
"2025-01-20","4:53 AM","53","43","69","SE","6","0","29.97","Cloudy","0.0"
"2025-01-20","5:53 AM","53","42","66","NE","6","0","29.97","Mostly Cloudy","0.0"
"2025-01-20","6:23 AM","52","42","69","ENE","3","0","29.95","Partly Cloudy","0.0"
"2025-01-20","6:53 AM","51","42","71","ENE","5","0","29.96","Partly Cloudy","0.0"
"2025-01-20","7:53 AM","51","43","74","CALM","0","0","29.96","Partly Cloudy","0.0"
"2025-01-20","8:53 AM","53","44","71","N","5","0","29.98","Haze","0.0"
"2025-01-20","9:53 AM","56","43","62","VAR","5","0","29.99","Fair","0.0"
